,Date,Average HPI,Atlanta GDP (Billions)
0,2001-01-01,109.39082071939008,209.741698
1,2002-01-01,113.52172308907815,214.80882300000002
2,2003-01-01,117.15192238850892,223.499568
3,2004-01-01,121.40730005708583,239.58060999999998
4,2005-01-01,127.60984329854416,255.967628
5,2006-01-01,133.12198574259807,263.61700899999994
6,2007-01-01,134.00412249102462,271.327784
7,2008-01-01,122.64373976713675,267.967059
8,2009-01-01,108.39792683688749,261.817867
9,2010-01-01,105.78409082582608,268.73627600000003
10,2011-01-01,98.39484460037333,277.40550899999994
11,2012-01-01,90.70446505879976,287.570424
12,2013-01-01,107.34659607965843,299.918186
13,2014-01-01,117.1565664692845,319.893192
14,2015-01-01,123.61185680566633,340.334196
15,2016-01-01,130.8531340114934,361.214621
16,2017-01-01,137.97270745071336,380.224121
